試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01531689,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1531689,600,,
QJ01531693,,,UX149R1,個,1,JPY,0,,2017/5/29,2018/5/28,,12,0,1,1537867,1800,,
QJ01531694,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1531694,400,,
QJ01531724,,,UX149R1,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1557277,2200,,
QJ01531726,,,UX148H3,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1531726,100,,
QJ01531733,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1531733,300,,
QJ01531739,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1531739,400,,
QJ01531746,,,UX149R1,個,1,JPY,0,,2017/5/31,2018/5/30,,12,0,1,1539636,1000,,
QJ01531769,,,UX142A2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1531769,100,,
QJ01531770,,,UX142F2,個,1,JPY,0,,2017/6/10,2018/6/9,,12,0,1,1531770,600,,
QJ01531794,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1560295,1300,,
QJ01531891,,,UX149R1,個,1,JPY,0,,2017/5/29,2018/5/28,,12,0,1,1537870,1000,,
QJ01531896,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1531896,400,,
QJ01531897,,,UX149R1,個,1,JPY,0,,2017/5/29,2018/5/28,,12,0,1,1537944,1300,,
QJ01531944,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1536568,500,,
QJ01532033,,,UX149R1,個,1,JPY,0,,2017/5/30,2018/5/29,,12,0,1,1539251,1700,,
QJ01532034,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1532034,900,,
QJ01532214,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1538882,1500,,
QJ01532217,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1545592,2600,,
QJ01532298,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1532298,800,,
QJ01532375,,,UX149R1,個,1,JPY,0,,2017/6/26,2018/6/25,,12,0,1,1557318,1200,,
QJ01532393,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/3/31,,11,0,1,1532393,400,,
QJ01532421,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1532421,500,,
QJ01532439,,,UX142A2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1532439,400,,
QJ01532440,,,UX142A2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1532440,400,,
QJ01532443,,,UX142E2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1532443,400,,
QJ01532553,,,UX142F2,個,1,JPY,0,,2017/8/1,2018/7/31,,12,0,1,1532553,1800,,
QJ01532816,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1532816,2300,,
QJ01532962,,,UX149R1,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1547125,3500,,
QJ01532963,,,UX14353,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1532963,400,,
QJ01532963,,,UX142F2,個,1,JPY,0,,2017/7/1,2018/6/30,,12,0,1,1532963,500,,
QJ01533123,,,UX149R1,個,1,JPY,0,,2017/5/25,2018/5/24,,12,0,1,1535737,3500,,
QJ01533148,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1533148,500,,
QJ01533151,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1533151,800,,
QJ01533347,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1533347,600,,
QJ01533432,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1533432,600,,
QJ01533456,,,UX142F2,個,1,JPY,0,,2017/6/1,2018/5/31,,12,0,1,1533456,500,,
QJ01533457,,,UX149R1,個,1,JPY,0,,2017/5/31,2018/4/30,,11,0,1,1539649,1400,,
QJ01533458,,,UX142A2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1533458,400,,
QJ01533517,,,UX149R1,個,1,JPY,0,,2017/5/29,2018/5/28,,12,0,1,1538183,2000,,
QJ01533666,,,UX142F2,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1533666,400,,
