試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00068804,,,UXA40T2,個,1,JPY,0,,2012/1/1,2017/12/31,,72,0,1,80072,1300,,
QJ00069692,,,UXA40T2,個,1,JPY,0,,2012/1/1,2017/12/31,,72,0,1,80093,2400,,
QJ00079297,,,UXA40T4,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,79297,300,,
QJ00087332,,,UXA40T2,個,1,JPY,0,,2012/1/1,2017/12/31,,72,0,1,122507,200,,
QJ00088189,,,UXA40T2,個,1,JPY,0,,2012/1/1,2017/12/31,,72,0,1,89638,2900,,
QJ00172930,,,UX142A2,個,1,JPY,0,,2012/5/1,2203/4/30,,2292,0,1,172930,400,,
QJ00177669,,,UXA40T0,個,1,JPY,0,,2012/5/15,2201/5/14,,2268,0,1,199814,1600,,
QJ00291123,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,307578,2000,,
QJ00291275,,,UX14403,個,1,JPY,0,,2012/10/21,2017/10/20,,60,0,1,304849,1900,,
QJ00293407,,,UX14383,個,1,JPY,0,,2012/11/11,2017/11/10,,60,0,1,344040,200,,
QJ00297426,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,297426,200,,
QJ00297645,,,UX14383,個,1,JPY,0,,2012/10/25,2017/10/24,,60,0,1,305723,2000,,
QJ00300055,,,UX14393,個,1,JPY,0,,2012/12/25,2017/11/24,,59,0,1,309002,600,,
QJ00300783,,,UX14383,個,1,JPY,0,,2012/10/28,2017/10/31,,60,0,1,308401,2400,,
QJ00301461,,,UX14393,個,1,JPY,0,,2012/11/25,2017/10/24,,59,0,1,301461,600,,
QJ00301771,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,308701,1800,,
QJ00302220,,,UXA40T2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,302220,2700,,
QJ00302410,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,308324,1600,,
QJ00302476,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,308330,2100,,
QJ00302542,,,UX14403,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,305815,200,,
QJ00302957,,,UX14403,個,1,JPY,0,,2012/10/1,2017/10/31,,61,0,1,310394,3000,,
QJ00303129,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,303129,2300,,
QJ00303208,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,309588,2500,,
QJ00303710,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,308747,1500,,
QJ00304481,,,UX14403,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,304481,2700,,
QJ00304775,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,304775,1300,,
QJ00305331,,,UX14383,個,1,JPY,0,,2012/10/21,2017/10/20,,60,0,1,307307,2000,,
QJ00305529,,,UX14403,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,305529,100,,
QJ00307543,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,307543,100,,
QJ00308770,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,308838,1800,,
QJ00309154,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,309154,100,,
QJ00313140,,,UX142J2,個,1,JPY,0,,2012/10/11,2017/10/10,,60,0,1,318469,800,,
QJ00313346,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,327816,1800,,
QJ00313787,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,313787,2600,,
QJ00314078,,,UX14383,個,1,JPY,0,,2012/11/10,2017/10/31,,60,0,1,314078,200,,
QJ00314405,,,UX14393,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,358722,600,,
QJ00314505,,,UX14383,個,1,JPY,0,,2012/10/3,2017/10/2,,60,0,1,314505,200,,
QJ00317783,,,UX14393,個,1,JPY,0,,2012/10/22,2017/10/21,,60,0,1,326822,2800,,
QJ00318310,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/30,,60,0,1,331434,1500,,
QJ00318355,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,333183,1900,,
QJ00318836,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,371664,100,,
QJ00319088,,,UX14403,個,1,JPY,0,,2012/11/1,2017/10/30,,60,0,1,319088,200,,
QJ00319197,,,UX14393,個,1,JPY,0,,2012/10/18,2017/10/17,,60,0,1,368166,100,,
QJ00319421,,,UX14403,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,332002,1400,,
QJ00320259,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,335583,1600,,
QJ00323792,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,323792,200,,
QJ00324780,,,UX14383,個,1,JPY,0,,2012/10/25,2017/10/30,,60,0,1,324780,200,,
QJ00325016,,,UX14393,個,1,JPY,0,,2012/10/30,2017/10/29,,60,0,1,333247,2100,,
QJ00325869,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/18,,60,0,1,325869,100,,
QJ00326037,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/2,,59,0,1,326203,200,,
QJ00327126,,,UX14393,個,1,JPY,0,,2012/10/29,2017/10/28,,60,0,1,327126,100,,
QJ00327476,,,UXA40T2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,334576,2300,,
QJ00327665,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,327665,200,,
QJ00327665,,,UX14782,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,327665,300,,
QJ00329649,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,332479,1300,,
QJ00331011,,,UXA40T2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,331011,2400,,
QJ00332085,,,UX14403,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,332485,200,,
QJ00332180,,,UXA40T2,個,1,JPY,0,,2012/10/11,2017/10/10,,60,0,1,333241,2800,,
QJ00332430,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,332430,200,,
QJ00333967,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,354611,1600,,
QJ00334412,,,UXA40T2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,334412,100,,
QJ00334550,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,345985,2400,,
QJ00334837,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/30,,60,0,1,349705,2300,,
QJ00335941,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,336258,100,,
QJ00335994,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,336268,100,,
QJ00336251,,,UX14782,個,1,JPY,0,,2012/11/1,2017/10/30,,60,0,1,336251,100,,
QJ00336313,,,UX14393,個,1,JPY,0,,2012/11/1,2017/10/30,,60,0,1,336318,100,,
QJ00336333,,,UX14383,個,1,JPY,0,,2012/11/7,2017/11/6,,60,0,1,336333,100,,
QJ00336421,,,UX14403,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,336421,100,,
QJ00336570,,,UX14383,個,1,JPY,0,,2012/12/1,2017/12/31,,61,0,1,354452,2300,,
QJ00336571,,,UX14383,個,1,JPY,0,,2012/12/1,2017/12/31,,61,0,1,354449,2300,,
QJ00337677,,,UX14383,個,1,JPY,0,,2012/11/15,2017/11/14,,60,0,1,337677,200,,
QJ00338199,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,338199,100,,
QJ00338205,,,UXA40T3,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,338205,100,,
QJ00339118,,,UX14383,個,1,JPY,0,,2012/12/1,2017/12/31,,61,0,1,354443,2300,,
QJ00339456,,,UX14403,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,339456,3100,,
QJ00339984,,,UX14393,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357841,3300,,
QJ00340020,,,UX14383,個,1,JPY,0,,2012/11/10,2017/11/9,,60,0,1,340020,100,,
QJ00340731,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357204,2300,,
QJ00340913,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,340913,300,,
QJ00342138,,,UX14383,個,1,JPY,0,,2012/11/28,2017/10/27,,59,0,1,354819,2500,,
QJ00343052,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,373207,1900,,
QJ00343326,,,UX14383,個,1,JPY,0,,2012/11/22,2017/11/30,,60,0,1,356619,2800,,
QJ00343807,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357497,2500,,
QJ00344101,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,344101,200,,
QJ00344446,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,344446,1900,,
QJ00344676,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,355115,2300,,
QJ00345778,,,UX14393,個,1,JPY,0,,2012/11/19,2017/11/18,,60,0,1,345778,100,,
QJ00346228,,,UX149R1,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,355754,1700,,
QJ00346354,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,346354,300,,
QJ00347050,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,356083,1700,,
QJ00347068,,,UX14383,個,1,JPY,0,,2012/11/30,2017/11/29,,60,0,1,358831,2400,,
QJ00347084,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357109,1700,,
QJ00347256,,,UX14383,個,1,JPY,0,,2012/11/21,2017/11/20,,60,0,1,354401,2300,,
QJ00347606,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347606,100,,
QJ00347606,,,UX142G2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347606,200,,
QJ00347607,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347607,100,,
QJ00347607,,,UX142G2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,347607,200,,
QJ00347607,,,UX142G2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,4,347607,200,,
QJ00347985,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357481,2000,,
QJ00348919,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,348919,100,,
QJ00349001,,,UX14383,個,1,JPY,0,,2012/11/21,2017/11/20,,60,0,1,355336,100,,
QJ00349500,,,UX14383,個,1,JPY,0,,2012/11/21,2017/10/20,,59,0,1,349500,200,,
QJ00349663,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,351445,100,,
QJ00349808,,,UX14383,個,1,JPY,0,,2012/11/24,2017/11/23,,60,0,1,349808,100,,
QJ00350092,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356112,200,,
QJ00350620,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356411,1800,,
QJ00350762,,,UXA40T2,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,350796,200,,
QJ00350878,,,UX14383,個,1,JPY,0,,2012/12/3,2017/12/2,,60,0,1,352502,200,,
QJ00350992,,,UX14383,個,1,JPY,0,,2012/12/10,2017/12/9,,60,0,1,364612,2000,,
QJ00351011,,,UX14393,個,1,JPY,0,,2012/11/27,2017/10/27,,59,0,1,351011,200,,
QJ00352016,,,UX14383,個,1,JPY,0,,2012/11/23,2017/11/21,,60,0,1,352016,200,,
QJ00352345,,,UX14383,個,1,JPY,0,,2012/12/13,2017/12/12,,60,0,1,376534,1400,,
QJ00352448,,,UX14393,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357491,3400,,
QJ00353462,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,369345,1800,,
QJ00353528,,,UXA40T2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,372009,2300,,
QJ00353654,,,UX14383,個,1,JPY,0,,2012/11/26,2017/11/25,,60,0,1,356005,200,,
QJ00353706,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,353706,100,,
QJ00354129,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,366324,1100,,
QJ00354441,,,UX14403,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,354891,200,,
QJ00354990,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,355611,100,,
QJ00356199,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356199,100,,
QJ00356265,,,UX14383,個,1,JPY,0,,2012/12/7,2017/11/6,,59,0,1,380598,1900,,
QJ00356471,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356760,1900,,
QJ00356593,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,356593,100,,
QJ00356681,,,UX14403,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357485,2500,,
QJ00356878,,,UX14393,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357198,200,,
QJ00356924,,,UX14383,個,1,JPY,0,,2012/11/28,2017/11/27,,60,0,1,356924,200,,
QJ00357588,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,357588,100,,
QJ00358323,,,UX14403,個,1,JPY,0,,2012/12/1,2017/10/31,,59,0,1,358483,100,,
QJ00359701,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,360144,100,,
QJ00359702,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,359702,1900,,
QJ00360419,,,UX14403,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,371775,2000,,
QJ00362209,,,UX14383,個,1,JPY,0,,2012/12/18,2017/12/17,,60,0,1,372609,1700,,
QJ00362785,,,UX14383,個,1,JPY,0,,2012/12/5,2017/12/4,,60,0,1,362785,100,,
QJ00363049,,,UX14403,個,1,JPY,0,,2012/12/27,2017/12/26,,60,0,1,379415,2600,,
QJ00364705,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,364705,200,,
QJ00364864,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,374995,2400,,
QJ00365370,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,377205,1900,,
QJ00367581,,,UX141A2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,367581,100,,
QJ00367964,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,367964,1700,,
QJ00368005,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,368005,2100,,
QJ00368040,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,368082,200,,
QJ00368219,,,UX141A2,個,1,JPY,0,,2012/12/17,2017/12/31,,60,0,1,368219,1100,,
QJ00368551,,,UX14383,個,1,JPY,0,,2012/12/18,2017/12/17,,60,0,1,368551,100,,
QJ00368580,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,378996,2900,,
QJ00368581,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,368581,100,,
QJ00369557,,,UX14383,個,1,JPY,0,,2012/12/17,2017/12/16,,60,0,1,369557,200,,
QJ00370599,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,370599,100,,
QJ00370651,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,370651,200,,
QJ00370834,,,UX14383,個,1,JPY,0,,2013/1/1,2018/12/31,,72,0,1,370834,200,,
QJ00372577,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,374728,1300,,
QJ00372579,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,374512,1900,,
QJ00372763,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,373443,200,,
QJ00372900,,,UX14383,個,1,JPY,0,,2012/12/13,2017/11/30,,60,0,1,372900,100,,
QJ00373925,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,379853,1900,,
QJ00374575,,,UX14383,個,1,JPY,0,,2013/3/14,2018/3/31,,61,0,1,380384,2300,,
QJ00374820,,,UX14403,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,381380,1900,,
QJ00375530,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,375530,3300,,
QJ00375988,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,381086,2300,,
QJ00376767,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,377993,100,,
QJ00376970,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,376970,100,,
QJ00376971,,,UX142J2,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,376971,100,,
QJ00376976,,,UX141A2,個,1,JPY,0,,2012/12/17,2017/12/30,,60,0,1,377056,100,,
QJ00377066,,,UX14383,個,1,JPY,0,,2012/12/27,2017/12/26,,60,0,1,378024,200,,
QJ00377451,,,UX14383,個,1,JPY,0,,2013/1/14,2018/1/31,,61,0,1,380479,1800,,
QJ00377524,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,482778,200,,
QJ00377646,,,UX14383,個,1,JPY,0,,2013/1/10,2018/1/9,,60,0,1,377646,1900,,
QJ00377919,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,377919,200,,
QJ00377920,,,UX149R1,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,378847,2300,,
QJ00377962,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,381111,1800,,
QJ00378064,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,378064,3000,,
QJ00378170,,,UX142J2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,380816,100,,
QJ00378384,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,378384,1900,,
QJ00378415,,,UX14383,個,1,JPY,0,,2012/12/25,2017/12/31,,60,0,1,378415,100,,
QJ00378418,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,455334,100,,
QJ00379426,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,379426,200,,
QJ00380130,,,UX14383,個,1,JPY,0,,2013/1/10,2018/1/31,,61,0,1,380130,200,,
QJ00380662,,,UX14383,個,1,JPY,0,,2013/1/31,2017/12/31,,59,0,1,380994,200,,
QJ00381876,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,390388,1900,,
QJ00383295,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,383295,2800,,
QJ00383357,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,395375,1600,,
QJ00383615,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,395155,2500,,
QJ00383668,,,UX14383,個,1,JPY,0,,2012/12/25,2017/12/24,,60,0,1,383668,100,,
QJ00383736,,,UX142J2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,384175,100,,
QJ00383824,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,383824,200,,
QJ00384612,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,384612,2000,,
QJ00384627,,,UX142H2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,384627,700,,
QJ00385405,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,389582,200,,
QJ00386055,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,387792,100,,
QJ00386513,,,UX14393,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,386513,100,,
QJ00387846,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,388116,100,,
QJ00387930,,,UXA40T2,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,398733,2000,,
QJ00388055,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,388223,100,,
QJ00388280,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,388280,100,,
QJ00388757,,,UX14383,個,1,JPY,0,,2013/1/1,2018/1/1,,60,0,1,388757,100,,
QJ00388796,,,UXA40T2,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,407503,2600,,
QJ00388856,,,UX14393,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,388856,100,,
QJ00389008,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,389089,100,,
QJ00389166,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,389166,1900,,
QJ00389295,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,390105,3000,,
QJ00389296,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,400343,1800,,
QJ00389640,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,395833,2500,,
QJ00390675,,,UX14383,個,1,JPY,0,,2013/2/1,2017/10/31,,57,0,1,390675,100,,
QJ00390741,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,400394,2200,,
QJ00392980,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,392980,100,,
QJ00393327,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,393327,100,,
QJ00394009,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,399538,1900,,
QJ00394038,,,UX14383,個,1,JPY,0,,2012/12/25,2017/12/31,,60,0,1,394038,100,,
QJ00394048,,,UX14383,個,1,JPY,0,,2013/1/10,2018/1/9,,60,0,1,397679,2000,,
QJ00394113,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,394113,100,,
QJ00394119,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,394119,1900,,
QJ00394762,,,UX14403,個,1,JPY,0,,2013/1/26,2018/1/25,,60,0,1,394762,200,,
QJ00396562,,,UX14383,個,1,JPY,0,,2013/1/25,2018/1/24,,60,0,1,396562,100,,
QJ00396612,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,396752,200,,
QJ00397028,,,UX14383,個,1,JPY,0,,2013/1/30,2018/1/29,,60,0,1,397028,200,,
QJ00397862,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,418409,1600,,
QJ00398366,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,398627,100,,
QJ00398755,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,411668,2600,,
QJ00398781,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,411651,2000,,
QJ00398966,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,398966,100,,
QJ00399548,,,UX14383,個,1,JPY,0,,2013/2/20,2018/2/19,,60,0,1,421239,2900,,
QJ00399892,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,399892,100,,
QJ00400008,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,400008,100,,
QJ00400192,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,414847,2300,,
QJ00402511,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,402511,100,,
QJ00402779,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,417998,3600,,
QJ00403399,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,415328,1500,,
QJ00404379,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,422536,2200,,
QJ00404432,,,UX14403,個,1,JPY,0,,2013/2/6,2018/2/5,,60,0,1,404432,100,,
QJ00406126,,,UX14383,個,1,JPY,0,,2013/2/25,2018/2/24,,60,0,1,418339,200,,
QJ00406159,,,UX14383,個,1,JPY,0,,2013/2/13,2018/2/12,,60,0,1,406159,100,,
QJ00406367,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,420850,1400,,
QJ00407123,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,455355,100,,
QJ00408123,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,408123,2700,,
QJ00410161,,,UX14393,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,410161,100,,
QJ00410209,,,UX14383,個,1,JPY,0,,2013/2/13,2018/2/12,,60,0,1,410209,200,,
QJ00411188,,,UX14403,個,1,JPY,0,,2013/4/1,2018/3/31,,60,0,1,411188,3500,,
QJ00412001,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,412782,100,,
QJ00412167,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,420181,3400,,
QJ00412223,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,420690,1800,,
QJ00412248,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,412248,200,,
QJ00412779,,,UX14383,個,1,JPY,0,,2012/11/1,2017/10/31,,60,0,1,412779,100,,
QJ00413791,,,UX14383,個,1,JPY,0,,2013/3/6,2018/3/5,,60,0,1,436939,2700,,
QJ00413882,,,UX14393,個,1,JPY,0,,2013/2/21,2018/2/20,,60,0,1,428018,100,,
QJ00414164,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,422947,1700,,
QJ00414327,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,414327,200,,
QJ00414328,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,414328,100,,
QJ00414337,,,UXA40T2,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,414337,1600,,
QJ00414469,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,414469,100,,
QJ00414514,,,UX14393,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,415030,100,,
QJ00414919,,,UX14383,個,1,JPY,0,,2013/4/1,2018/3/31,,60,0,1,424282,1800,,
QJ00415142,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,415142,100,,
QJ00415282,,,UX14383,個,1,JPY,0,,2013/2/25,2018/2/28,,60,0,1,422853,2200,,
QJ00415536,,,UX14383,個,1,JPY,0,,2013/4/1,2018/3/31,,60,0,1,422850,2000,,
QJ00416031,,,UX14383,個,1,JPY,0,,2013/2/23,2018/2/22,,60,0,1,416031,100,,
QJ00416049,,,UX14383,個,1,JPY,0,,2013/4/1,2018/3/31,,60,0,1,421370,1900,,
QJ00416337,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,416337,100,,
